type,longitude,latitude,dispositionX,dispositionY,velocityX,velocityY
Processed,0,0,0.0,127.486091287177,0.0,5.359857040986526
Raw,0,0,0.0,132.85802483558655,0.0,0.0
Processed,0,0,0.0,128.82907467427938,0.0,5.371933548409515
Raw,0,0,0.0,134.1834819316864,0.0,0.0
Processed,0,0,0.0,130.16767648863114,0.0,5.354407257407047
Raw,0,0,0.0,135.5204474925995,0.0,0.0
Processed,0,0,0.0,131.50586923962322,0.0,5.352771003968314
Raw,0,0,0.0,136.86360836029053,0.0,0.0
Processed,0,0,0.0,132.84530401979003,0.0,5.357739120667247
Raw,0,0,0.0,138.2087528705597,0.0,0.0
Processed,0,0,0.0,134.18616623248244,0.0,5.3634488507696005
Raw,0,0,0.0,139.54310655593872,0.0,0.0
Processed,0,0,0.0,135.5254013133465,0.0,5.356940323456229
Raw,0,0,0.0,140.8777952194214,0.0,0.0
Processed,0,0,0.0,136.86349978986522,0.0,5.352393906074894
Raw,0,0,0.0,142.22213745117188,0.0,0.0
Processed,0,0,0.0,138.20315920519187,0.0,5.358637661306602
Raw,0,0,0.0,143.56662154197693,0.0,0.0
Processed,0,0,0.0,139.54402478938812,0.0,5.363462336785005
Raw,0,0,0.0,144.91387844085693,0.0,0.0
Processed,0,0,0.0,140.88648820225532,0.0,5.369853651468816
Raw,0,0,0.0,146.29650950431824,0.0,0.0
Processed,0,0,0.0,142.23899352777104,0.0,5.410021302062887
Raw,0,0,0.0,147.73626923561096,0.0,0.0
